Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
Cable,36.98308,383.5825837,18.80413429,0.0001
Cable,6.032112,111.8208411,14.93655346,0.0014
Cable,21.04128,219.4334443,15.27170723,0.0001
Cable,21.016368,214.7781784,16.60837729,0.008
Cable,21.038832,219.4356914,21.58184848,0.0014
Cable,36.699336,382.4849187,21.04913547,0.0011
Cable,36.664296,383.7652601,14.46845746,0.0004
Cable,6.035216,111.6486939,18.10156964,0.0007
Cable,36.649496,379.8053333,19.23972051,0.0012
Cable,21.009336,217.6093866,17.30806181,0.0008
Cable,21.057344,218.1940013,15.80157692,0
Cable,3.127672,54.78512,16.36217188,0.0007
Cable,20.8914,219.5006374,19.76117284,0.0105
Cable,21.03124,219.470907,15.61009206,0.0015
Cable,36.913024,366.8189206,20.51793265,0.0005
Cable,6.043304,111.7354108,16.76786226,0.0005
Cable,21.016984,219.2804511,16.14254533,0.0006
Cable,6.015168,111.7876568,16.19965789,0.001
FTTC,13.471392,48.39905832,16.75737778,0
FTTC,7.331744,37.28137084,11.3994411,0.0002
FTTC,18.577136,73.48563238,9.04977526,0.0009
FTTC,9.363184,37.37499807,9.96971176,0.0001
FTTC,8.131688,34.77861888,22.24542649,0.0009
FTTC,9.132856,35.28228336,15.91028297,0.0008
FTTC,18.71996,60.94298658,13.63414148,0.0002
FTTC,17.6838,56.42924215,13.36703299,0
FTTC,18.456592,74.114752,16.14363874,0
FTTC,9.268752,33.47805832,17.20381714,0.0006
